epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,214.87,0.33612,0.42561,0.96721,0.99855,1,0.995,0.98939,0.22408,0.40444,0.88353,0.0007526,0.0007526,0.0007526
65,218.162,0.31549,0.4089,0.97627,0.99851,1,0.995,0.98835,0.23723,0.41022,0.89506,0.0007328,0.0007328,0.0007328
66,221.396,0.33578,0.40515,0.9925,0.99871,1,0.995,0.9881,0.21551,0.38814,0.88525,0.000713,0.000713,0.000713
67,224.645,0.28269,0.39359,0.97846,0.99886,1,0.995,0.98757,0.20396,0.35674,0.87589,0.0006932,0.0006932,0.0006932
68,227.983,0.25264,0.37866,0.96281,0.99885,1,0.995,0.98812,0.21757,0.33671,0.87669,0.0006734,0.0006734,0.0006734
69,231.271,0.30053,0.38389,0.99042,0.99885,1,0.995,0.97802,0.23508,0.33973,0.88251,0.0006536,0.0006536,0.0006536
70,234.684,0.34858,0.39362,1.00404,0.99883,1,0.995,0.97749,0.23982,0.3308,0.88425,0.0006338,0.0006338,0.0006338
71,237.921,0.34089,0.40576,0.98586,0.99881,1,0.995,0.98815,0.21839,0.34178,0.87301,0.000614,0.000614,0.000614
72,241.169,0.30035,0.39814,0.97341,0.9982,1,0.995,0.99042,0.19091,0.42537,0.86002,0.0005942,0.0005942,0.0005942
73,244.45,0.31601,0.35702,0.98944,0.99645,1,0.995,0.98739,0.18414,0.60861,0.85913,0.0005744,0.0005744,0.0005744
74,247.714,0.48535,0.70824,1.1989,0.98966,1,0.995,0.98487,0.19712,0.78383,0.86532,0.0005546,0.0005546,0.0005546
75,250.919,0.28561,0.35971,0.95302,0.9915,1,0.995,0.9886,0.20125,0.86351,0.86681,0.0005348,0.0005348,0.0005348
76,254.178,0.29524,0.38595,1.02863,0.99506,1,0.995,0.98675,0.20568,0.87163,0.86686,0.000515,0.000515,0.000515
77,257.517,0.27329,0.35646,0.92626,0.99192,1,0.995,0.98733,0.19073,0.81481,0.85588,0.0004952,0.0004952,0.0004952
78,260.786,0.2805,0.40124,1.00935,0.99216,1,0.995,0.98741,0.18419,0.85376,0.85144,0.0004754,0.0004754,0.0004754
79,264.023,0.27447,0.35194,0.9479,0.99114,1,0.995,0.99177,0.17902,0.91422,0.84797,0.0004556,0.0004556,0.0004556
80,267.236,0.30304,0.42395,0.99446,0.98991,1,0.995,0.995,0.17628,0.96998,0.84786,0.0004358,0.0004358,0.0004358
81,270.557,0.31572,0.34765,0.95494,0.99424,1,0.995,0.995,0.18207,1.00467,0.85081,0.000416,0.000416,0.000416
82,273.787,0.28094,0.36681,0.96103,0.99684,1,0.995,0.99189,0.17964,0.97869,0.84985,0.0003962,0.0003962,0.0003962
83,277.041,0.26905,0.33966,0.95108,0.99352,1,0.995,0.995,0.16611,0.82643,0.84,0.0003764,0.0003764,0.0003764
84,280.319,0.24702,0.34818,0.93934,0.99491,1,0.995,0.995,0.16667,0.63832,0.838,0.0003566,0.0003566,0.0003566
85,283.681,0.229,0.32094,0.88866,0.99792,1,0.995,0.995,0.17998,0.42672,0.84597,0.0003368,0.0003368,0.0003368
86,287.082,0.28404,0.42136,0.97319,0.99875,1,0.995,0.99261,0.19623,0.34624,0.85959,0.000317,0.000317,0.000317
87,290.513,0.27293,0.35417,0.93342,0.99888,1,0.995,0.99265,0.19732,0.32899,0.86222,0.0002972,0.0002972,0.0002972
88,293.817,0.29517,0.34494,0.98317,0.99892,1,0.995,0.99265,0.1846,0.31391,0.85327,0.0002774,0.0002774,0.0002774
89,297.06,0.23723,0.32237,0.94948,0.99894,1,0.995,0.995,0.16446,0.29242,0.83929,0.0002576,0.0002576,0.0002576
90,300.33,0.26945,0.30049,0.91816,0.99895,1,0.995,0.995,0.15262,0.27706,0.83078,0.0002378,0.0002378,0.0002378
91,303.768,0.23769,0.60686,0.91613,0.99895,1,0.995,0.995,0.14501,0.27658,0.82641,0.000218,0.000218,0.000218
92,306.965,0.1779,0.4545,0.80136,0.99891,1,0.995,0.995,0.15468,0.28837,0.83015,0.0001982,0.0001982,0.0001982
93,310.158,0.1769,0.42232,0.83976,0.99892,1,0.995,0.995,0.16068,0.30784,0.83257,0.0001784,0.0001784,0.0001784
94,313.372,0.21824,0.41394,0.82736,0.99895,1,0.995,0.995,0.15639,0.32377,0.82957,0.0001586,0.0001586,0.0001586
95,316.651,0.24298,0.52744,0.92714,0.99895,1,0.995,0.995,0.14486,0.32448,0.82279,0.0001388,0.0001388,0.0001388
96,319.936,0.15801,0.4068,0.81663,0.99896,1,0.995,0.995,0.13954,0.3258,0.81902,0.000119,0.000119,0.000119
97,323.184,0.18584,0.48315,0.84939,0.99895,1,0.995,0.995,0.13734,0.32295,0.81696,9.92e-05,9.92e-05,9.92e-05
98,327.252,0.26757,0.5711,0.95546,0.99897,1,0.995,0.995,0.13472,0.32208,0.81551,7.94e-05,7.94e-05,7.94e-05
99,331.173,0.14185,0.40327,0.8427,0.99897,1,0.995,0.995,0.13243,0.31636,0.81394,5.96e-05,5.96e-05,5.96e-05
100,334.921,0.1707,0.4139,0.8824,0.99897,1,0.995,0.995,0.12883,0.31065,0.81309,3.98e-05,3.98e-05,3.98e-05
